ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Terrestrial,NA,Terrestrial plants,Producer,NA,Sesamum_indicum,Sesamum,indicum,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Sesame,NA,NA,0.4,3854
Terrestrial,NA,Terrestrial plants,Producer,NA,Theobroma_cacao,Theobroma,cacao,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Cocoa Butter,NA,NA,0.2,3855
Terrestrial,NA,Terrestrial plants,Producer,NA,Tribulus_terrestris,Tribulus,terrestris,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Gokhru,NA,NA,NA,3856
Terrestrial,NA,Terrestrial plants,Producer,NA,Trigonella_foenumgraecum,Trigonella,foenumgraecum,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Fenugreek,NA,NA,23.2,3857
Terrestrial,NA,Terrestrial plants,Producer,NA,Triticum_aestivum,Triticum,aestivum,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Wheat Germ,NA,NA,6.1,3858
Terrestrial,NA,Terrestrial plants,Producer,NA,Vaccinium_oxycoccus,Vaccinium,oxycoccus,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Cranberry Seed,NA,NA,22.3,3859
Terrestrial,NA,Terrestrial plants,Producer,NA,Vitellaria_paradoxa,Vitellaria,paradoxa,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Shea Butter,NA,NA,0.3,3860
Terrestrial,NA,Terrestrial plants,Producer,NA,Vitis_vinifera,Vitis,vinifera,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Grape Seed,NA,NA,0.6,3861
Terrestrial,NA,Terrestrial plants,Producer,NA,Ximenia_americana,Ximenia,americana,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Belize,NA,NA,10.3,3862
Terrestrial,NA,Terrestrial plants,Producer,NA,Zea_mays,Zea,mays,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Corn,NA,NA,1.9,3863
Terrestrial,NA,Terrestrial plants,Producer,NA,Zea_mays,Zea,mays,NA,NA,NA,NA,Dubois et al 2007,Lily,2,24_06_20,Columbo et al 2017,"Dubois, V., Breton, S., Linder, M., Fanni, J., & Parmentier, M. (2007). Fatty acid profiles of 80 vegetable oils with regard to their nutritional potential. European Journal of Lipid Science and Technology, 109(7), 710-732.",,NA,Corn,NA,NA,1,3864
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_sp,Isochrysis,sp,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,9.5,0.8,3.7,2322
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_sp,Isochrysis,sp,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,9,0.6,4.5,2323
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_sp,Isochrysis,sp,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,10.2,0.6,4.5,2324
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_sp,Isochrysis,sp,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,6.8,0.5,3.7,2325
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,7.9,27.6,0.6,2326
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,8.1,23.1,0.5,2327
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,7.9,22.9,0.4,2328
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,9.2,17,0.8,2329
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Dunstan et al 1993,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,11.2,17.7,0.5,2330
Marine,NA,Phytoplankton,Producer,NA,Coscinodiscus_sp,Coscinodiscus,sp,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,4.6,26,1.6,2331
Marine,NA,Phytoplankton,Producer,NA,Skeletonema_costatum,Skeletonema,costatum,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,4.7,26.1,1.4,2332
Marine,NA,Phytoplankton,Producer,NA,Skeletonema_sp,Skeletonema,sp,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,4.2,18.3,0.5,2333
Marine,NA,Phytoplankton,Producer,NA,Thalassionema_nitzchioides,Thalassionema,nitzchioides,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,1,25.2,0.6,2334
Marine,NA,Phytoplankton,Producer,NA,Thalassionema_nitzchioides,Thalassionema,nitzchioides,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,1,25.2,0.6,2335
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_stellaris,Thalassiosira,stellaris,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,4.8,25.3,0.5,2336
Marine,NA,Phytoplankton,Producer,NA,Thalassiothrix_heteromorpha,Thalassiothrix,heteromorpha,NA,NA,NA,NA,Dunstan et al 1994,Lily,2,24_06_20,Columbo et al 2017,"Dunstan, G. A., Volkman, J. K., Barrett, S. M., & Garland, C. D. (1993). Changes in the lipid composition and maximisation of the polyunsaturated fatty acid content of three microalgae grown in mass culture. Journal of Applied Phycology, 5(1), 71-83.",,NA,NA,1.6,12.9,1.4,2337
Marine,NA,NA,Producer,NA,Tetraselmis_chui,Tetraselmis,chui,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,8,25.2,1972
Marine,NA,NA,Producer,NA,Tetraselmis_chui,Tetraselmis,chui,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,3.68,11.592,1973
Marine,NA,NA,Producer,NA,Micromonas_pusilla,Micromonas,pusilla,Chlorophyta,Mamiellophyceae,Mamiellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,8.5,0.3,1.4,1986
Marine,NA,NA,Producer,NA,Micromonas_pusilla,Micromonas,pusilla,Chlorophyta,Mamiellophyceae,Mamiellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,7.5,1.6,8.1,1987
Marine,NA,NA,Producer,NA,Micromonas_pusilla,Micromonas,pusilla,Chlorophyta,Mamiellophyceae,Mamiellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,3.961,0.1398,0.6524,1988
Marine,NA,NA,Producer,NA,Micromonas_pusilla,Micromonas,pusilla,Chlorophyta,Mamiellophyceae,Mamiellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,6.1575,1.3136,6.6501,1989
Marine,NA,NA,Producer,NA,Pyramimonas_cordata,Pyramimonas,cordata,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,4.5,0.4,4.6,1990
Marine,NA,NA,Producer,NA,Pycnococcus_provasolii,Pycnococcus,provasolii,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,7.4,0.2,5.2,1991
Marine,NA,NA,Producer,NA,Pyramimonas_cordata,Pyramimonas,cordata,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,2.682,0.2384,2.7416,1992
Marine,NA,NA,Producer,NA,Pycnococcus_provasolii,Pycnococcus,provasolii,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,2.9822,8.06E-02,2.0956,1993
Marine,NA,NA,Producer,NA,Chlorella_protothecoides,Chlorella,protothecoides,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,41.5,1994
Marine,NA,NA,Producer,NA,Chlorella_sp,Chlorella,sp,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,27,1995
Marine,NA,NA,Producer,NA,Chlorella_sp,Chlorella,sp,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,32.9,1996
Marine,NA,NA,Producer,NA,Stichococcus_sp,Stichococcus,sp,Chlorophyta,Trebouxiophyceae,Prasiolales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,28.2,1997
Marine,NA,NA,Producer,NA,Chlorella_protothecoides,Chlorella,protothecoides,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,16.019,1998
Marine,NA,NA,Producer,NA,Chlorella_sp,Chlorella,sp,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,10.206,1999
Marine,NA,NA,Producer,NA,Chlorella_sp,Chlorella,sp,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,14.3115,2000
Marine,NA,NA,Producer,NA,Stichococcus_sp,Stichococcus,sp,Chlorophyta,Trebouxiophyceae,Prasiolales,NA,Dunstan1992,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Volkman, J. K., Jeffrey, S. W., & Barrett, S. M. (1992). Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), 115-134.",,NA,NA,0,0,11.421,2001
Marine,NA,NA,Producer,NA,Rhodomonas_sp,Rhodomonas,sp,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,6.7,7.6,29.9,2005
Marine,NA,NA,Producer,NA,Proteomonas_sp,Proteomonas,sp,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,10.8,12.3,22,2006
Marine,NA,NA,Producer,NA,Proteomonas_sulcata,Proteomonas,sulcata,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,7.8,12.6,29.3,2007
Marine,NA,NA,Producer,NA,Rhodomonas_salina,Rhodomonas,salina,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,6.45,9.2,21.45,2008
Marine,NA,NA,Producer,NA,Rhodomonas_salina,Rhodomonas,salina,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,7.8,13.2,20.7,2009
Marine,NA,NA,Producer,NA,Rhodomonas_salina,Rhodomonas,salina,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,7.1,12.2,19.4,2010
Marine,NA,NA,Producer,NA,Rhodomonas_maculata,Rhodomonas,maculata,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,6.4,7.7,26.6,2011
Marine,NA,NA,Producer,NA,Rhodomonas_maculata,Rhodomonas,maculata,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,4.1,5.4,29.9,2012
Marine,NA,NA,Producer,NA,Chroomonas_placoidea,Chroomonas,placoidea,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.2,11,27.2,2013
Marine,NA,NA,Producer,NA,Chroomonas_placoidea,Chroomonas,placoidea,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.4,12.4,19.4,2014
Marine,NA,NA,Producer,NA,Rhodomonas_sp,Rhodomonas,sp,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.5829,0.6612,2.6013,2015
Marine,NA,NA,Producer,NA,Proteomonas_sp,Proteomonas,sp,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.5508,0.6273,1.122,2016
Marine,NA,NA,Producer,NA,Proteomonas_sulcata,Proteomonas,sulcata,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.1716,0.2772,0.6446,2017
Marine,NA,NA,Producer,NA,Rhodomonas_salina,Rhodomonas,salina,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.403125,0.575,1.340625,2018
Marine,NA,NA,Producer,NA,Rhodomonas_salina,Rhodomonas,salina,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.5772,0.9768,1.5318,2019
Marine,NA,NA,Producer,NA,Rhodomonas_maculata,Rhodomonas,maculata,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,0.7168,0.8624,2.9792,2020
Marine,NA,NA,Producer,NA,Chroomonas_placoidea,Chroomonas,placoidea,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Dunstan2005,NA,7,NA,Galloway and Winder 2015,"Dunstan, G. A., Brown, M. R., & Volkman, J. K. (2005). Cryptophyceae and Rhodophyceae; chemotaxonomy, phylogeny, and application. Phytochemistry, 66(21), 2557-2570.",,NA,NA,9.40E-03,0.517,1.2784,2021
